iter	Passed	Remaining
379	53621	934135
380	53781	934331
381	53994	935441
382	54215	936670
383	54419	937602
384	54621	938498
385	54824	939398
386	55025	940263
387	55221	941049
388	55423	941906
389	55631	942891
390	55834	943759
391	56023	944403
392	56232	945359
393	56432	946181
394	56629	946927
395	56828	947721
396	57039	948694
397	57245	949585
398	57423	949999
399	57647	951189
400	57857	952120
401	58043	952663
402	58259	953696
403	58465	954550
404	58679	955526
405	58890	956469
406	59087	957164
407	59302	958146
408	59507	958955
409	59755	960456
410	59982	961618
411	60192	962490
412	60412	963533
413	60618	964325
414	60823	965111
415	61028	965894
416	61223	966515
417	61413	967049
418	61619	967828
419	61803	968252
420	62008	969004
421	62210	969716
422	62402	970270
423	62599	970883
424	62795	971481
425	63004	972273
426	63197	972832
427	63417	973787
428	63618	974442
429	63819	975096
430	64023	975795
431	64228	976510
432	64444	977390
433	64631	977814
434	64830	978419
435	65017	978848
436	65224	979568
437	65399	979795
438	65593	980318
439	65784	980787
440	65974	981240
441	66175	981845
442	66380	982517
443	66610	983561
444	66869	985003
445	67097	985995
446	67304	986686
447	67510	987333
448	67702	987786
449	67901	988341
450	68097	988848
451	68300	989449
452	68509	990133
453	68706	990638
454	68918	991372
455	69131	992094
456	69327	992577
457	69527	993121
458	69727	993658
459	69940	994368
460	70146	994985
461	70365	995778
462	70557	996185
463	70819	997580
464	71026	998187
465	71226	998693
466	71423	999166
467	71624	999677
468	71838	1000379
469	72042	1000937
470	72239	1001386
471	72462	1002187
472	72666	1002732
473	72890	1003547
474	73094	1004087
475	73310	1004784
476	73502	1005146
477	73706	1005677
478	73928	1006445
479	74145	1007149
480	74358	1007780
481	74562	1008298
482	74786	1009072
483	74969	1009305
484	75164	1009682
485	75367	1010174
486	75594	1010982
487	75811	1011648
488	76008	1012049
489	76203	1012422
490	76418	1013051
491	76615	1013443
492	76815	1013875
493	77023	1014403
494	77225	1014849
495	77426	1015290
496	77630	1015757
497	77833	1016205
498	78021	1016472
499	78224	1016923
500	78411	1017162
